trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.009471910228916254,0.03871784614982513,0.0018963832235753088,0.011232626134074053
2,0.007871668366665146,0.03222594677344829,0.001958592571580811,0.009052534469645934
3,0.005529949873251939,0.020657996851216543,0.0017248397607472407,0.007861204736546057
4,0.1401090780754378,3.2979461362710545,0.0017121645248933189,0.007642514604564443
5,0.005131081676403703,0.024881372322751494,0.0011829083422591632,0.005160789525810117
6,0.024912114111896047,0.11753530080424619,0.0026290065798973417,0.010641605088690831
7,0.1526034017298129,2.2319521603282815,0.0019034107133950632,0.012451552003158367
8,0.014740730755096592,0.05708595169518668,0.0011141732647290245,0.0045884785092624725
9,0.023316274674791776,0.09149925695555611,0.0018107635822899423,0.007778849882082106
10,0.005955245587537018,0.02537374843733385,0.0018451315633821253,0.00882531095236061
