target_name,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,x_mm,y_mm,z_mm,nx,ny,nz,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,x_m,y_m,z_m
Target_001,-6.854734473673344,-94.26693627881434,-146.83711945863823,-28.895944262546866,90.0,-6.854734473673333,-140.0,-140.0,0.0,0.0,0.0,-1.0,-0.11963768591556041,-1.6452684138330016,-2.5627911986974707,-0.5043293678542076,1.5707963267948966,-0.11963768591556023,-0.14,-0.14,0.0
Target_002,-6.650139935175296,-95.39007974979137,-145.50417201752555,-29.105748232683098,90.0,-6.650139935175287,-130.0,-140.0,0.0,0.0,0.0,-1.0,-0.11606683758717118,-1.664870965373828,-2.5395268770940214,-0.5079911379168407,1.5707963267948966,-0.11606683758717103,-0.13,-0.14,0.0
Target_003,-6.457155875300088,-96.48632131852557,-144.15804820259314,-29.355630478881316,90.0,-6.457155875300079,-120.0,-140.0,0.0,0.0,0.0,-1.0,-0.11269863033848293,-1.6840039901454675,-2.516032584383944,-0.5123524058552787,1.5707963267948966,-0.11269863033848276,-0.12,-0.14,0.0
Target_004,-6.274840836644192,-97.5587086518008,-142.7991797119829,-29.642111636216264,90.0,-6.274840836644183,-110.0,-140.0,0.0,0.0,0.0,-1.0,-0.1095166326380368,-1.702720679967802,-2.4923158551211895,-0.5173524452956975,1.5707963267948966,-0.10951663263803664,-0.11,-0.14,0.0
Target_005,-6.10235045633154,-98.60994399334126,-141.42790483957992,-29.962151167078837,90.0,-6.10235045633153,-100.0,-140.0,0.0,0.0,0.0,-1.0,-0.10650610757356382,-1.7210681978910103,-2.4683825936478927,-0.5229381888457874,1.5707963267948966,-0.10650610757356366,-0.1,-0.14,0.0
Target_006,-5.9389255168048045,-99.64243278072624,-140.0444791412823,-30.313088077991495,90.0,-5.938925516804796,-90.0,-140.0,0.0,0.0,0.0,-1.0,-0.10365380429894966,-1.7390885267208018,-2.444237260255897,-0.5290631934079912,1.5707963267948966,-0.1036538042989495,-0.09,-0.14,0.0
Target_007,-5.783881681453355,-100.65832504075803,-138.64908431641732,-30.69259064282467,90.0,-5.783881681453346,-80.0,-140.0,0.0,0.0,0.0,-1.0,-0.1009477788871469,-1.756819191503883,-2.4198830261967137,-0.5356867626840934,1.5707963267948966,-0.10094777888714673,-0.08,-0.14,0.0
Target_008,-5.636600650634135,-101.65955069189863,-137.24183558318487,-31.09861372491654,90.0,-5.636600650634124,-70.0,-140.0,0.0,0.0,0.0,-1.0,-0.09837723997362026,-1.7742938756717106,-2.395321902407288,-0.5427732023056917,1.5707963267948966,-0.09837723997362006,-0.07,-0.14,0.0
Target_009,-5.496522518825644,-102.6478497155083,-135.82278777767533,-31.529362506816376,90.0,-5.496522518825634,-60.0,-140.0,0.0,0.0,0.0,-1.0,-0.0959324153635195,-1.7915429476279445,-2.3705548459579466,-0.5502911867987988,1.5707963267948966,-0.09593241536351932,-0.06,-0.14,0.0
Target_010,-5.363139150592323,-103.62479800974893,-134.3919403647501,-31.98326162550098,90.0,-5.363139150592312,-50.0,-140.0,0.0,0.0,0.0,-1.0,-0.09360443642044802,-1.8085939119841858,-2.3455818475087584,-0.5582132208917457,1.5707963267948966,-0.09360443642044784,-0.05,-0.14,0.0
Target_011,-5.235988423305551,-104.59182961197143,-132.9492415146882,-32.45892887334037,90.0,-5.235988423305541,-40.0,-140.0,0.0,0.0,0.0,-1.0,-0.09138523758298847,-1.8254717974138046,-2.320402002460442,-0.5665151805104429,1.5707963267948966,-0.09138523758298828,-0.04,-0.14,0.0
Target_012,-5.114649209437436,-105.55025586622094,-131.49459137084386,-32.95515276293517,90.0,-5.114649209437429,-30.0,-140.0,0.0,0.0,0.0,-1.0,-0.0892674687892083,-1.8421994911880148,-2.2950135679857495,-0.5751759212109251,1.5707963267948966,-0.08926746878920817,-0.03,-0.14,0.0
Target_013,-4.9987369917322635,-106.50128202034065,-130.02784460961192,-33.47087337004746,90.0,-4.998736991732253,-20.0,-140.0,0.0,0.0,0.0,-1.0,-0.08724441894696457,-1.858798028849983,-2.269414007709289,-0.5841769438254185,1.5707963267948966,-0.08724441894696439,-0.02,-0.14,0.0
Target_014,-4.887900021486306,-107.44602165994078,-128.54881237388577,-34.00516596617342,90.0,-4.887900021486297,-10.0,-140.0,0.0,0.0,0.0,-1.0,-0.08530994888323762,-1.8752868461351098,-2.2436000254527344,-0.593502108796845,1.5707963267948966,-0.08530994888323747,-0.01,-0.14,0.0
Target_015,-4.781815944190171,-108.38550932213673,-127.0572636441596,-34.5572270337037,90.0,-4.781815944190162,0.0,-140.0,0.0,0.0,0.0,-1.0,-0.0834584324504799,-1.8916839991222933,-2.217567589165074,-0.603137392097323,1.5707963267948966,-0.08345843245047975,0.0,-0.14,0.0
Target_016,-4.680188828437215,-109.32071157852062,-125.55292609683613,-35.12636232464325,90.0,-4.680188828437204,10.0,-140.0,0.0,0.0,0.0,-1.0,-0.08168470467128543,-1.9080063576682722,-2.1913119459029033,-0.6130706768135141,1.5707963267948966,-0.08168470467128523,0.01,-0.14,0.0
Target_017,-4.582746543708012,-110.2525368326132,-124.03548648661919,-35.711976680767634,90.0,-4.582746543708003,20.0,-140.0,0.0,0.0,0.0,-1.0,-0.07998401597209503,-1.9242697764054206,-2.1648276285044386,-0.6232915754748312,1.5707963267948966,-0.07998401597209488,0.02,-0.14,0.0
Target_018,-4.489238440750558,-111.18184404057394,-122.50459057862261,-36.31356538080347,90.0,-4.489238440750549,30.0,-140.0,0.0,0.0,0.0,-1.0,-0.07835199169819362,-1.940489246946851,-2.13810845440459,-0.6337912790332489,1.5707963267948966,-0.07835199169819346,0.03,-0.14,0.0
Target_019,-4.399433295069475,-112.10945053399644,-120.95984264562279,-36.93070682038079,90.0,-4.399433295069466,40.0,-140.0,0.0,0.0,0.0,-1.0,-0.07678459622082555,-1.956679034419953,-2.1111475168603664,-0.6445624291043709,1.5707963267948966,-0.0767845962208254,0.04,-0.14,0.0
Target_020,-4.313117479746264,-113.03613909915086,-119.4008045363527,-37.56305636449646,90.0,-4.313117479746255,50.0,-140.0,0.0,0.0,0.0,-1.0,-0.07527810104689216,-1.9728528010224795,-2.083937168689536,-0.6555990106726745,1.5707963267948966,-0.07527810104689199,0.05,-0.14,0.0
Target_021,-4.230093338620353,-113.96266444721593,-117.82699431155933,-38.2103412412247,90.0,-4.2300933386203425,60.0,-140.0,0.0,0.0,0.0,-1.0,-0.07382905642560457,-1.9890237189494016,-2.05646899846534,-0.6668962629699479,1.5707963267948966,-0.07382905642560439,0.06,-0.14,0.0
Target_022,-4.150177734922789,-114.88975919419701,-116.23788443539942,-38.87235637040358,90.0,-4.1501777349227815,70.0,-140.0,0.0,0.0,0.0,-1.0,-0.07243426601736312,-2.005204574762165,-2.0287337989503897,-0.6784506066721349,1.5707963267948966,-0.072434266017363,0.07,-0.14,0.0
Target_023,-4.0732007538931825,-115.81813945681537,-114.63289950032436,-39.548961042860284,90.0,-4.073200753893172,80.0,-140.0,0.0,0.0,0.0,-1.0,-0.07109076425015128,-2.021407867055385,-2.0007215273884227,-0.6902595859408822,1.5707963267948966,-0.07109076425015108,0.08,-0.14,0.0
Target_024,-3.9990045408312866,-116.74851016128346,-113.01141345355813,-40.240076385158474,90.0,-3.9990045408312778,90.0,-140.0,0.0,0.0,0.0,-1.0,-0.06979579603970996,-2.0376458991124524,-1.9724212570972053,-0.7023218241750332,1.5707963267948966,-0.06979579603970981,0.09,-0.14,0.0
Target_025,-3.9274422585198323,-117.681570155249,-111.37274628224819,-40.94568356250279,90.0,-3.9274422585198234,100.0,-140.0,0.0,0.0,0.0,-1.0,-0.0685467985931334,-2.0539308681257897,-1.9438211196135047,-0.7146369926453952,1.5707963267948966,-0.06854679859313324,0.1,-0.14,0.0
Target_026,-3.8583771500761603,-118.61801720913243,-109.71616010193927,-41.66582268892829,90.0,-3.8583771500761515,110.0,-140.0,0.0,0.0,0.0,-1.0,-0.06734138505254438,-2.070274952486656,-1.9149082364240777,-0.7272057914739557,1.5707963267948966,-0.06734138505254422,0.11,-0.14,0.0
Target_027,-3.79168169510441,-119.55855299150554,-108.04085457868882,-42.40059242980567,90.0,-3.7916816951044012,120.0,-140.0,0.0,0.0,0.0,-1.0,-0.06617732976717172,-2.086690398621888,-1.885668639066511,-0.7400299426962916,1.5707963267948966,-0.06617732976717156,0.12,-0.14,0.0
Target_028,-3.727236848574657,-120.50388810411218,-106.34596159830363,-43.15015029758416,90.0,-3.7272368485746483,130.0,-140.0,0.0,0.0,0.0,-1.0,-0.06505255500928508,-2.103189608871585,-1.8560871760898496,-0.7531121954232546,1.5707963267948966,-0.06505255500928493,0.13,-0.14,0.0
Target_029,-3.664931353192438,-121.4547472657506,-104.63053907606798,-43.91471365818141,90.0,-3.6649313531924284,140.0,-140.0,0.0,0.0,0.0,-1.0,-0.06396511897277923,-2.1197852319649284,-1.8261474050139719,-0.7664563434057893,1.5707963267948966,-0.06396511897277907,0.14,-0.14,0.0
Target_030,-2.706050024937357,-121.23622776732063,-105.02568086164199,-43.738091371037385,90.0,-2.706050024937347,140.0,-130.0,0.0,0.0,0.0,-1.0,-0.04722948265883154,-2.115971347237519,-1.833043930184448,-0.7633737029627232,1.5707963267948966,-0.04722948265883137,0.14,-0.13,0.0
Target_031,-2.75224807953233,-120.28294289339416,-106.7430571094861,-42.97399999711972,90.0,-2.75224807953232,130.0,-130.0,0.0,0.0,0.0,-1.0,-0.04803579081952991,-2.099333387478043,-1.8630178002048738,-0.7500377927017728,1.5707963267948966,-0.048035790819529744,0.13,-0.13,0.0
Target_032,-2.800042704936261,-119.33492214981126,-108.44020441778153,-42.22487343240722,90.0,-2.800042704936252,120.0,-130.0,0.0,0.0,0.0,-1.0,-0.048869964397585834,-2.082787304125316,-1.8926386086259883,-0.7369630676333854,1.5707963267948966,-0.04886996439758568,0.12,-0.13,0.0
Target_033,-2.849517671426492,-118.39143070101417,-110.11806250112375,-41.490506797862096,90.0,-2.849517671426483,110.0,-130.0,0.0,0.0,0.0,-1.0,-0.049733465460154225,-2.0663202718793956,-1.9219227565615113,-0.724145951943783,1.5707963267948966,-0.04973346546015407,0.11,-0.13,0.0
Target_034,-2.9007626806977544,-117.45174577918797,-111.77749855339687,-40.77075566741517,90.0,-2.9007626806977447,100.0,-130.0,0.0,0.0,0.0,-1.0,-0.05062785959715278,-2.049919676062183,-1.950885379399974,-0.711583924922533,1.5707963267948966,-0.05062785959715261,0.1,-0.13,0.0
Target_035,-2.9538738971452965,-116.51515135469785,-113.41931334476146,-40.065535300540716,90.0,-2.9538738971452867,90.0,-130.0,0.0,0.0,0.0,-1.0,-0.051554825193901754,-2.0335730195990087,-1.97954045321723,-0.6992755075684514,1.5707963267948966,-0.05155482519390158,0.09,-0.13,0.0
Target_036,-3.0089545369308626,-115.58093291501766,-115.04424647819712,-39.37482060678522,90.0,-3.008954536930853,80.0,-130.0,0.0,0.0,0.0,-1.0,-0.05251616371226486,-2.0172678318937454,-2.0079008865204306,-0.6872202619705137,1.5707963267948966,-0.052516163712264696,0.08,-0.13,0.0
Target_037,-3.066115522248867,-114.64837225862965,-116.65298090914683,-38.69864683222353,90.0,-3.0661155222488574,70.0,-130.0,0.0,0.0,0.0,-1.0,-0.053513811109748184,-2.000991577965215,-2.0359785991307007,-0.6754188032887742,1.5707963267948966,-0.05351381110974801,0.07,-0.13,0.0
Target_038,-3.125476209310416,-113.71674221256342,-118.24614681217702,-38.037110975259566,90.0,-3.125476209310407,60.0,-130.0,0.0,0.0,0.0,-1.0,-0.05454985054521821,-1.9847315662508531,-2.063784589669086,-0.6638728244647508,1.5707963267948966,-0.054549850545218055,0.06,-0.13,0.0
Target_039,-3.1871651998491144,-112.78530118154481,-119.82432486206713,-37.39037395638803,90.0,-3.1871651998491046,50.0,-130.0,0.0,0.0,0.0,-1.0,-0.055626526542350126,-1.9684748534714078,-2.0913289928223717,-0.6525851340909098,1.5707963267948966,-0.05562652654234996,0.05,-0.13,0.0
Target_040,-3.251321247459618,-111.85328743321946,-121.38804898262643,-36.75866358415411,90.0,-3.2513212474596083,40.0,-130.0,0.0,0.0,0.0,-1.0,-0.05674626080821966,-1.9522081448892767,-2.1186211273189843,-0.6415597081764289,1.5707963267948966,-0.056746260808219484,0.04,-0.13,0.0
Target_041,-3.3180942718500157,-110.91991301753498,-122.9378086042089,-36.14227837825614,90.0,-3.318094271850007,30.0,-130.0,0.0,0.0,0.0,-1.0,-0.05791166993534658,-1.9359176881817042,-2.1456695353300597,-0.6308017568729262,1.5707963267948966,-0.05791166993534642,0.03,-0.13,0.0
Target_042,-3.3876464961747974,-109.98435720892346,-124.4740504598631,-35.54159233121344,90.0,-3.3876464961747876,20.0,-130.0,0.0,0.0,0.0,-1.0,-0.059125585251899704,-1.9195891589852752,-2.172482013818173,-0.6203178075812414,1.5707963267948966,-0.05912558525189954,0.02,-0.13,0.0
Target_043,-3.46015372507868,-109.0457593470926,-125.99717993988466,-34.95706071302274,90.0,-3.46015372507867,10.0,-130.0,0.0,0.0,0.0,-1.0,-0.06039107512776965,-1.903207535944148,-2.1990656381787383,-0.6101158062618035,1.5707963267948966,-0.060391075127769485,0.01,-0.13,0.0
Target_044,-3.535806783999467,-108.1032109355437,-127.50756201485282,-34.38922704960345,90.0,-3.5358067839994582,0.0,-130.0,0.0,0.0,0.0,-1.0,-0.06171147009514266,-1.886756962803177,-2.2254267783500365,-0.6002052392314755,1.5707963267948966,-0.0617114700951425,0.0,-0.13,0.0
Target_045,-3.614813143745998,-107.15574683574658,-129.00552172767564,-33.83873143657783,90.0,-3.614813143745989,-10.0,-130.0,0.0,0.0,0.0,-1.0,-0.06309039120273474,-1.8702205947172732,-2.2515711074010234,-0.5905972782663939,1.5707963267948966,-0.06309039120273457,-0.01,-0.13,0.0
Target_046,-3.6973987584990393,-106.20233536838558,-130.4913442453843,-33.306320386230084,90.0,-3.6973987584990304,-20.0,-130.0,0.0,0.0,0.0,-1.0,-0.06453178209495891,-1.8535804254855532,-2.2775036024353117,-0.5813049524638244,1.5707963267948966,-0.06453178209495876,-0.02,-0.13,0.0
Target_047,-3.7838101503233403,-105.24186710018463,-131.96527445104397,-32.79285844877138,90.0,-3.7838101503233306,-30.0,-130.0,0.0,0.0,0.0,-1.0,-0.06603994539352387,-1.8368170918445188,-2.30322853746867,-0.5723433510715009,1.5707963267948966,-0.0660399453935237,-0.03,-0.13,0.0
